prompt,target
"Title: Great for one season, then the wooden handle broke.  Horrible CUSTOMER SERVICE.  AVOID THIS BRAND.
Review: Loved the shovel for the first few snow falls.  GREAT blade and ice/snow removal.  Wooden handle broke recently and I tried contacting Garant.  They are in Canada.  They would not uphold the 1 year warranty and peddled me off to AMES their US company/rep.  AMES couldn't offer any warranty and claimed Garant doesn't ship parts to the US.  What kind of horrible service is this???  WARRANTY MEANS NOTHING here and they do no care about customer satisfaction as evidenced by their inability to satisfy my valid warranty claim.  If you like the shovels, just buy a few of them as spares.  They sell them here as well as ACE.",0
"Title: If you NEED to get to sleep, take these.
Review: If you have less than 8 hours from pillow to dressing in the morning, do not take but a 1/2 tablet. If you have more than 8 hours (10hrs'ish), take 1 full tablet and you won't have any groggy feeling when you're ready to rise and shine.<br /><br />I find that neither keeps me from tossing/turning through the night, but both allow me to fall back asleep should I awake during the night whereas taking 5mg or even 10mg of melatonin, while allowing me to fall asleep JUST as quickly as this Sleep Aid, the melatonin doesn't ensure that should I awake in the middle of the night, I'll be able to fall back asleep.<br /><br />The difference between the Melatonin and Sleep Aid for me is the former has 0 groggy feelings to it, whereas Sleep Aid COULD le",1
"Title: semi disposable slippers
Review: I just put in new flooring and I don't want outdoor shoes inside... so I purchased these for guests ... for the price they are 5 star.  However, they are really semi disposable - not very thick or comfy. But they'd do for a short visit.  I also offer the slip-over shoe covers - they may actually be more useful in the long run for most people - but these are very cute at our beach house.  There are 4 size ""large"" (estimate a 10-11 womens - maybe 9-10 mens?)  slipper sets and 4 size ""medium"" ( estimate about an 8-9 womens size). I personally found them fairly wide - I have normal width feet. They are bright white thin terry tops with slightly non-skid, textured soles.  The decoration is embroidered sea life items.  I never hesitate to update ",1
"Title: Poor quality. While it does offer some nice features
Review: Poor quality.  While it does offer some nice features, the lack of quality diminishes it all.<br />-For an Air Gun, this thing has a lot of kick.<br />-Trigger position is bad, if you just place the finger on the trigger like on any other gun and start squeezing it, the finger will quickly run in to the upper deck preventing the full squeeze, so have to remember to place the finger on the very tip/bottom of the trigger to make a shot.  Imagine this will be even more problematic if wearing gloves.<br />- Scope is absolutely horrible.<br />  * Mounting - does not stay in place even when screws are super tight (I imagine this is due to the amount of kick this rifle has), so when you think you got done sighting it in and make few more shots, yo",0
"Title: My dog won’t eat these chews.
Review: I was very disappointed in the Cosquin chews.  They are full of good things for senior dogs, especially those that have arthritis.  I tried for 2 weeks to get my senior dog to eat these and she completely refused.  I end up crushing them up with her food and she still would not eat them.  I just order the Cosquin round tablets that I was giving her before.  This is a great supplements for dogs with arthritis or joint problems.  Highly recommend the tabs, which you cut in half and she loves to eat them.<br />Maybe it’s just my dog, your’s may like the chews.",0
"Title: It was Nice quality, at first
Review: 10.2ft was long in this case. We replaced the battery operated string lights for these, and it's well worth it! No more dying batteries!! Plus, the remote function is a very cool feature! My 5 year old loves his new lights, and they also dim and make for a great nite lite.<br /><br />Update 2/11/2020: It's been less than a year and several of the bulbs have completely burned out. The rest of the lights are super dim, as if the integrity and quality of the product was questionable. They look nice, but they no longer function as they did 7 months ago!!",0
"Title: Does not capture all motion
Review: It is spotty on motion detection capturing. There are distinct events that it just does not capture..  The night vision is pretty decent though. If you opt in & pay for cloud service, you will not get it. I paid for and did not receive cloud service all last year and they just tried to automatically charge my card for another year of service. I tried multiple times to email them about not receiving cloud service and never got a response, nor a refund.  I will be switching to a different company that has more of a reputation behind them. Save your money and go with a bigger name brand, this one will give you no bang for your buck.",0
"Title: NOT AS DESCRIBED!
Review: ""95% Cotton, 5% Spandex, Soft and Light Weight. Very Skin-Friendly and Comfortable to Wear.<br />Super Soft Floral Print Fabric and Elastic Empire Waist Makes the Flowy Dress Soft and Stretch.""  That's what was described.  But NONE of it is accurate!  There is not a stitch of Spandex in this fabric - it's more like a cheaply-woven linen-like fabric.  Oh, wait!  It IS lightweght!  There is NO elastic in the ""empire waist.  The fabric is not skin-friendly.  The top of the dress fits well enough (but there is absolutely no stretch, so I don't think it would be comfortable for more than 10 minutes.  But the part of the dress below the bustline is HUGE!  I look like a beached whale in it!  NOTICE PLEASE that the dress arrived with the fabric-con",0
"Title: Gorgeous!
Review: This is one of the most beautiful summer tops I've ever seen.  The fit is flattering and it's just long enough to work well with leggings.  I really like that the bodice provides some modesty also since I will wear this at work throughout the summer.  I've ordered a second one in another color.<br /><br />I washed it before the first wearing since it seems that the fabric has some overdie that got on my hands.  I used plain white vinegar to set the colors.  They are still vivid and I will be washing it by hand to keep it that way.",1
"Title: All are different, but that's the beauty of real art, right?
Review: Well, disclaimer -- I'm no expert at tingshaw chimes, but I am a classical musician, so I do know about sounds ;)<br /><br />These feel good, are very solid, heavy, and make a nice ringing sound.<br /><br />My guess is all these chimes make different tones.  I used a sound analyzer to listen to the frequencies, and they were VERY DIFFERENT frequencies than what other people analyzed here.....  so I'm not going to bother to post them (I forgot, and I'm to lazy to retest) -- bottom line is, YOU GET WHAT YOU GET, AND BE HAPPY WITH IT... or return them.",1
"Title: Terrible execution of a good idea
Review: Pros: Nothing<br />Cons: doesn’t work, it’s more difficult and time consuming to use than a sponge, it sprays cleaner everywhere (make sure to wear safety glasses if you buy decide to buy it), if you have arthritis, carpal tunnel, or De Quervains you will be in pain afterward.<br /><br />I ordered this to deep clean our main shower. I used the large brush over 3/4 of the shower with two difference cleaners and asked my husband to come in to see if he could tell where I cleaned.<br />He literally chose the only corner that I had not cleaned as looking the cleanest.<br />I scrubbed this shower for more than an hour. I presoaked it with my regular cleaner before taking the drill brush to it. I tried different speeds and pressures to see if the",0
"Title: Fashionable and trendy.
Review: Starter is a brand that has been around for a while. I always considered Starter to be a brand known for athletic apparel, so I think this bomber style jacket is a nice addition to the collection. It is black (the Starter logo is on the breast pocket) with white accents (along the neck and cuff).  It zips down the front with snaps at the waist. There is a quilted lining that has therma-star (enhances heat) and dri-star (keeps away moisture) technologies. It is light weight and versatile, so you can layer when it is cold (with a hoodie or sweater) or wear it with a t-shirt. You can wear it with jeans or khakis. The fabric (100% polyester) does have a little shine, but I think that is what makes it cute. Overall, if you can afford it, I think",1
"Title: excellent local and remote file browser
Review: This program is super!  I've tried a couple of different file browser apps and this one seems to do things a bit better than the rest.  It supports browsing and managing files on remote machines and streaming the files to an audio or video player so you don't have to download the file to listen or watch it.  I used to have a seperate app for bluetooth, ftp, etc but this program does it all.  I've also been using this app to connect to my cloud storage on amazon s3.  I highly recommend you give this app a try!",1
"Title: Made in China.  Multiple connections.
Review: This Power Station has more connections than some others I have tried.  Not only two AC plugs, but also a 12V plug.  Some may prefer more USB-A connections, but the two offered work for me.  Also USB-C.  Make sure you understand the limits.  You can not use this Power Station for things such as coffee makers. . . heaters. . and so on.  But for some many other items. . .such as phones. . laptops. . . lights. . . speaker. . . fan. . . and so on. .  it’s really great.  You can charge this Power Station with a solar panel, but you will need to purchase the solar panel separately.<br /><br />This Power Station is Made in China and being sold by a Chinese company on Amazon.",1
"Title: Solid and Well Made Cast Iron Casserole
Review: I do a lot with cast iron and prefer it to coated non-stick cookware most of the time. This is the very first 13""x9"" cast iron pan I have ever seen and so far I am very pleased with it. It's a solid product and worth its asking price.<br /><br />Lodge is the largest and most well-known cast iron foundry still in operation in the US. They produce quality products and this one is no exception. This is a solid and hefty casserole pan and it is made to last a lifetime and beyond. I have never had trouble with any Lodge cast iron (though to be fair, it is not indestructible and can be broken). Looking my pan over I found no pores, holes, or burrs, and the finish is uniform.<br /><br />This is a preseasoned pan, and I think a lot of people misund",1
"Title: Elegant but superficial Bach
Review: There are always two kinds of pianists in this world. The ones, prodigiously talented, praised by critics and satisfied with themselves, never question what they are doing, therefore stuck in one place without ever reaching depth of music making which can stand test of time. (Kissin, Ashkenazy, Argerich etc)<br /><br />The others who keep asking questions and aspire to reach higher realm of music making, trying to capture fleeting moment of the divine. (Richter, Rubinstein, Pogorelich, Volodos etc)<br /><br />To me Hewitt belongs to the former. The elegance, fluency and subtlety of her playing are admirable enough, but that's all there is. Her recordings and her live performances Bach give me the impression that she is just content scratchi",0
"Title: Super Convenient
Review: Love this shaker cup!<br />I’m not a big fan of putting a lot of liquid in my pre and post workout drinks, and this has 8 ounces on each side; roughly the same size as the mini normal shakers.<br />The little grates at the top work well for mixing up the light products I use, but I can see where some people have issues with their protein powder. One thing I might recommend is giving a little ball or something that can be placed within each side to shake up thicker things like that.<br />Overall, love it and would purchase again!",1
"Title: Not only didn't work, but disabled the speakers on two systems.
Review: This device did not work with any Windows 8 system I tested it on. Not only that, it would somehow prevent the on-board speakers from working at all. I would consider myself a power user and have even done some systems programming, not that it is entirely relevant to this review, but every so often I read a review and wonder if it was something that was more of a user error. Well, maybe it was a user error in this case, but if so it was subtle enough that I wasn't able to fix it.<br /><br />Perhaps this is just a windows 8 problem, but I tested this on two different laptops with the same result.<br /><br />I had to pay to have this shipped back, so in summary it was a waste of hope, time, money, and effort.",0
"Title: Not what I was expecting
Review: With all the positive reviews, I was really excited to receive this bike. It was easy to assemble, but does not work for me. It seems that no matter the height of the chair, I can’t get this at a height that is comfortable to pedal. It rocks side to side and slides across the floor. It does come with a strap that you can attach to the chair, but that doesn’t stop the rocking back and forth. There isn’t enough resistance nor enough space for your feet to clear the ground without concentrating on it. There’s no way this will work under my desk or anywhere else in my house. Unfortunately, I’ll be sending it back.",0
"Title: Terrible Product/Terrible Toshiba Customer Service
Review: I bought two of these products for my two adult kids who are now in their own places. One worked a bit and then stopped showing images (and we have several other brand of digital images which work just fine). The other one didn't even turn on out of the box. Toshiba's customer service was terrible. I had documented that they were less than 6 months old and Toshiba refused the replacement of the one that works a bit but doesn't correctly show images. For the other one that doesn't even power on, Toshiba offered me a White digital frame in replacement for my Black one. I cannot use the white frame anywhere and bought a black one for a reason.<br /><br />Jamie at Toshiba threw their hands up and refused to help me any further, saying that was ",0
"Title: Don't waste your money
Review: I really don't get this product.  It is meant to be a combination moisturizing treatment and purple conditioner, meant to reduce brassy tones in blonde hair.  I've used about half the bottle, and it doesn't really seem to do much of anything that it is supposed to.  First of all, on the moisturizing- it's meant to be an extra-conditioning treatment.  It's supposed to be more moisturizing than an actual conditioner.  However, the consistency of this stuff is basically water.  It goes on the hair as water, and has about as much effect as water.  In other words, it did no conditioning of my hair.  Secondly, the packaging is terrible.  This treatment comes in a spray bottle, but the spray is really hard to work- it takes some amount of force to",0
"Title: Disappointing
Review: I ordered this swimsuit using amazon prime, so it arrived very quickly. However when I opened the box I noticed that the plastic bags it was in was ripped open and the other bag was unzipped, so the bottoms to the swimsuit were spilling out. Not too big of a deal since I planned to wash it anyways, but once I took the bottoms out I realized the top was missing. I checked the recipe and posting again to make sure it said set and not just bottoms and it clearly states set. Also, after reading the reviews stating that it ran small I ordered a medium; way to big! The back is also very very cheeky! I'm 5'2 and 125 lbs just in case someone needs a references for themselves. Sadly I will just be returning the suit (bottoms) and looking for somethi",0
"Title: Disappointing
Review: This was a shame! I may have liked it if it didn’t have a label on it when it arrived that it has cancer causing materials in it’s construction and they can cause birth defects. No one wants to sit on that situation. I thought they were a “Green Company” to make matters worse two of the legs had no receiving screw catches to screw the legs into and you do need four legs on this piece. When I packed it up to send back I could hear parts rolling around inside the piece they were supposed to be in. It was not easy to put together but we did all the work to have the final part be defective. I took it apart and packed more carefully than they did and since the label said you ship had to pay $324.00 to ship it back. BIG Mistake and for their defe",0
"Title: Collector's Choice Quality Briar Wax Berry Porcelain Calabash Sherlock Holmes Rohan Pipe New- Lz-293
Review: Save your money! Don't buy this! I had read the reviews and decided to take a chance. Well? I shouldn't have! The negative reviews were dead on. The pipe arrived today and it was a disappointment from the start. The pieces don't fit or stay together. The porcelain bowl loosely sits and falls out. Forget about the stem! I tried wedging it in as tight as I could and it still would not hold. I managed to get one smoke but spending so much time holding it just right ruined any imagined joy I thought I was going to have.<br /><br />Not Amazon's fault but the manufacturer's shoddy work. I will consider though buying a more expensive higher quality one. Unfortunately, not from Amazon but through some other internet source.",0
"Title: IT'S MY CHOICE EVERY TIME ......
Review: Gave it 5 stars because I've not found a reason to give it less.  I've used McAfee for years.  I especially like the Quick Clean feature that cleans up my computer's unnecessary temporary files along with clearing the cache and history and other things that take up space and can slow down a computer.<br /><br />I was hesitant this time when I bought it though, because it was for a download with a subscription code card number.  I've always used a CD for the install in prior years.  When I recently bought a new laptop, I separately bought an external disc drive since my laptop doesn't contain one.  Who knew that things I used to install via a CD are pretty much now only offered as downloads, online.  This is one of those things.  I was nervo",1
"Title: Horrible ending
Review: This book definitely needed both grammar and spelling editing. However, that is not what I disliked most about this book. There was not one single character who was likeable!! Everyone got what they deserved, it was a horrible ending. Throughout the book I kept wanting the main character to have one shred of decency so I could care about what happened to him, but he was and remained a sad, pathetic, selfish person and I didn't care a whit about what happened to him. Stop reading if you don't want a spoiler alert but even the person who ended up with the time machine at the end of the book was a horrible person. This book was an exercise in and account of the lives of horrible people, a waste of time. It was too bad too, because the writing ",0
"Title: a must-have!
Review: i thought i knew these sonatas quite well until i heard this set. if you're on this page at all reading this review, stop now and just buy it, is all i can say. i'm very happy that i did. this may be the best music purchase i've ever made (Itunes library currently displaying 174 GB of music, 71.6 days worth of audio!)<br /><br />i may be a sucker for slightly oldschool sounding recordings, but really the audio quality is charming. the performance cannot be praised enough. a particular favorite is the second movement of sonata #15. buy this set! you'll be happy you did.",1
"Title: I can't wait to use this this summer!
Review: I haven't used this in my car yet, but I've fooled with it in my house a little.  I like that it folds up to a pretty small size; about the diameter of a dinner plate, but unfolds into two rectangular panels to place into your windshield.  At first, I was a little put off by the fact the sun shade is made up of two separate panels, but it makes sense to construct it that way so that it can fit multiple cars!  I can see taking this out of my car (a wider sports coupe) and throwing it into my wife's &#34;cute ute&#34; which has a narrower windshield.  The sunshade is a silver color that I hope reflects the suns heat away.  And it also comes with a handy storage pouch to tuck the sunshade away in once it's folded down into its dinner plate sto",1
"Title: Lots of fun
Review: We really love LEGOs in this family. My son can spend hours playing with them. I really like them because he can be creative. Once he is done putting together the item he will often make his own creations.<br /><br />I love the quality of the LEGOs. I don’t think we have ever had one break and we have many, many sets. I also like that he has something to play with once he makes it. Of course he has to be careful with it, but if he is, he can play with it.<br /><br />These make great gifts. I think my son loves it the best of all. It is good for both boys and girls. It is also nice when the set goes with something like this one does.<br /><br />This was a good set. He was able to put it together on his own. It really kept him occupied for qu",1
"Title: NOT what was described !!!!!!!!!
Review: The packaged did NOT come with what was described!<br />*It came with three 3ft. chords that ARE Data cables<br />*it came with three 6ft chords that are NOT Data cables (shame -as the product description said they were Data cables!)<br />*NONE OF THE ADAPTORS that plug into your device are adaptor style -just regular style AND DO NOT MAGNETICALLY CONNECT TO THE CHORDS!<br />DON'T ORDWR FEOM THIS COMPANY -AS THEY CANNOT PACKAGE A CORRECR ORDER!<br />NOW I HAVE TO GO THROUGH THE HASSLE OF RETURNING THESE.",0
"Title: Dont do it!
Review: Bought two of these printers for my office one year ago. Mine, when printing in color, now wants to color the entire page in virtually solid blue, or magenta. Spoke with their service dept and rec'd the typical...unplug the unit for 20 seconds, clean the printheads, bla bla bla. Still paints the page with very high priced ink. It now works only in black as I have eliminated the color settings. No positive response from their service dept regarding a replacement, but heck, its a year old and is disposable.<br />Thought I would give lexmark a try but I would suggest something else.",0
"Title: Will grab everyone's eyes at the table.
Review: Light weight, beautiful coloring, and they grab the attention of everyone when you throw them.<br />The ones I received came as pictured and are shinny and draw your attention.<br /><br />The only things I could find wrong were that the d4 had on one of it's edges a tiny bump in the metal that looked like a bead of running paint.<br />And on one of the die the swirl patter is diffrent than the rest. But you have to really look at them to notice these defects.  But they don't bother me at all.<br /><br />They roll nicely, and do sound a bit like wind chimes when rolled together.<br />So far they haven't bent or deformed, even when dropped onto stone flooring from above table heights.<br />I also haven't noticed a favored side on any of the d",1
"Title: Not a good recording.
Review: This recording cannot stand up to Sills' Manon, and on its own terms is not at all good. Angela Gheorghiu is, as usual, off pitch, and Alagna sounds worn out and not at all into the part.<br /><br />If this is the New Age of French Opera, it is a dark age.<br /><br />I have bought this couples' recordings before, and always a major disappointment, except for Alagna, who now has developed his voice way beyond his ex-wife's, and the separation of them should free Alagna up, so that he is not dependent on his very overparted in every part wife.<br /><br />Her Carmen, her Butterfly, this manon, her Il Trovatore (one of the worst recordings of this opera around) etc etc. The Tosca..and on it goes, but the good aprt these recordings have mostly b",0
"Title: I just can't recommend
Review: There's just no way I can recommend the product. I know there are some people that have gotten it to work and they seem happy, at least in the interim. Not sure on long term use, but my short term, just setup experience was so poor, I can't imagine continuing to use the product.  Why are the included instructions so limited. They omit what can be vital information and recommend a questions website that doesn't provide documentation, but only contact info. Yet, if you search independently online, you can actually find additional instructions. Talk about making your customers work to use your product. After playing the game with the 'doesn't look like your device is connected' while wifi on my phone said it was connected, I found the instruct",0
"Title: It makes me happy so i say 5 stars
Review: Just got email asking me to leave a review for this product and I honestly don't mind.<br />I'm in Wisconsin and it always feels like there's more cold months than warm. With that my skin can get very dry and sometimes break out from that. I'm nearing my 40's and I need to start worrying about winkles... well I should started sooner but.....<br /> I've been using this for about two months and really really like it. It's thick, creamy, and just a little bit does wonders for your skin.<br />There's a slight smell but I feel like it fades fast. I've used other products where I felt like a stinky old lady after but I don't with this.<br />My skin has had no dryness, no breakouts, and has a nice glow. I wish the price was a bit lower BUT even th",1
"Title: This is not a reliable product.
Review: Mine looked great in the packaging for the price.  While setting it up as a hard wired access point however I was in the process of connecting devices to it and after the 3rd device the thing stopped working and needed to be unplugged.  I should have taken that as a sign because the thing hasn't run more than 3 hours without having this issue.  The SSID will still show up, but if you try to connect to it windows will say &#34;this is taking longer than usual&#34; and eventually connect.  Once connected the internet doesnt work anymore, connecting within the network doesn't work anymore.. and you cant even access the AP backend until you shut the AP off and turn it back on.  TP-Link email support took 2 full business days and replied back th",0
"Title: Not what I was expecting
Review: I purchased this thinking it was the original sized Jenga without obviously reading everything or even looking at the title in detail. I just was excited to have my own Jenga. Anyway, when I received it, the entire packaging fit into my palm. I was disappointed and returned it without even opening it up.<br /><br />I guess I should have known it was a mini version when the price was less than $5.00 but I also have no idea what the price of a normal-sized Jenga would be.<br /><br />Read everything before you press that “BUY” button!",0
"Title: Does not work - diffuser keeps slipping out of adapter
Review: I purchased this adapter to use with an Xtava Black Orchid Hair Diffuser - for Blow Dryers with 1.8 inch Diameter Nozzle.  It was displayed on the same Amazon page as the diffuser, and the diffuser came with instructions for how to use this adapter.  So, I assume that they were made to work with each other.<br /><br />This adapter is just a short cylinder of flexible rubber.  It does allow me to connect the diffuser to the hairdryer.  But, when using the hairdryer/diffuser, the diffuser keeps falling off.<br /><br />Therefore, this adapter is not functional at all.  Beware!",0
"Title: Not Much Consistancy...this time returned
Review: I have purchased this item over 10 different times, and those of you who have noticed it is not as thick are not just seeing things.  I use this fabric for hand dyeing as it takes dye quite well after being washed with textile detergent to remove any sizing.  I think the problem here is that it doesn't always come from the same seller.  If you look, you don't see the seller named.  This is fulfilled by Amazon so my guess is they are using different places to get the fabric.  I have received cloth in the past that was as thin as muslin and some that was much thicker.  I just placed a new order and will see.  One of the sellers (Hancock Fabric in KY seems to be the best).  Their name was on the shipping label.  That is the only reason I knew ",0
"Title: Ready for the reefs!
Review: I've always wanted one of these things. I wish I had it when I was in Puerto Rico for six months! When I saw that this one has an attachment for my action camera, I was convinced.<br /><br />My only hesitation was that I am 6'6"" tall, have a very large head (as compared to the 5'8"" national average) and this mask might not have fit correctly. It DOES. Just barely. But, it does.<br /><br />I took the mask with me, when I was giving my wife some swimming instruction at the community pool. Here's what l like.<br /><br />First, the silicone gaskets that fit around my face form a perfect seal. It actually creates two compartments. The one for my nose and mouth are have the very cool ventilation system built in.  Inhalations come in through one w",1
"Title: Great jacket
Review: This is a very nice outdoor jacket by First Stop.<br /><br />This is a very nice jacket. It is soft and very comfortable. It is flattering on. The fit is very good.<br /><br />We were pleased with the durability of this jacket. The quality seemed very good. It seems like it will last a long time.<br /><br />Because of the neutral colors this is pretty versatile. It will go with most things. It is very attractive.<br /><br />It provides a good amount of warmth. It isn't too thin or too thick - it is a good medium jacket.<br /><br />I would recommend it.",1
"Title: Strands not microfiber, but plastic which fall out. RETURNS NOT ALLOWED. Got a refund.
Review: I am very disappointed with these. They are advertised as microfiber, but the dusting “heads” are made out of plastic very similar to the old plastic grass used in Easter baskets, only thinner. I’d accept that if they worked, but they did not. For example, I used one to dust the top edge of a 2” thin wall display case. Then I ran my finger over the same area and my finger was full of dust. The plastic strands arrived bent which would normally be okay if they were actually a fiber, but being plastic, there was no way to fix the bent strands.<br /><br />When I washed one by gently swishing it around in a sink filled with water, several strands fell out. Twirling it gently to remove the dripping water caused more strands to fall out. I expecte",0
"Title: white faux fur
Review: Used as &#34;santa&#34; trim on a costume I was making.  Washed and dried before using.... did beautifully.  It is very, very soft and looks rich - not cheapy like some of the other straight poly blend faux furs... I think cause it's so soft and NOT &#34;shiny&#34; like some of those fauxs can be.  It IS fuzzy... so where it's cut, there is a lot of excess fuzz... but it eventually calms down. I bought WAY more than I needed... so I will have to figure out what to do with the rest of it.  Gladly.",1
"Title: SCHWINN 430 ELLIPTICAL
Review: I just bought this Schwinn 430 Elliptical and I have not put 1hr of ""USE"" on this machine and it is making this ""extremely loud noise"".<br />It sounds like it wants to break down. I will see what the customer service at schwinn says about the noise and fix.<br />It will probably go back to Amazon. I don't want to spend $600 to a machine that sounds like it is about to break within having it for 6 days.<br />It seemed like a good machine some the reviews I read. Maybe I got a lemon. Will update about the fix and then I will change my rating.",0
"Title: Water tank is a toy, not a model.
Review: This is a toy, not an item for any serious modeler.  (I did not realize that it was really &#34;Plasticville&#34;, which is now owned by Bachmann.  Had I known I would never have bought it.  I remember Plasticville as a producer of cheap plastic structures for toy trains in the 1960's.  Nothing has changed.<br />The tank itself has obvious, poorly glued seams on both sides.  The spout and structural members underneath are loaded with flash and poorly trimmed sprues.  The spout (also loaded with flash) is connected to the counterweights with stiff black thread that is simply knotted in place with the ends hanging out.<br />The company's return policy is for you to pay the shipping both ways.  That comes to over eight dollars on a sixteen dol",0
"Title: As advertised, good pan
Review: I purchased this pan to use as a litter pan for my cats.  I was concerned over the dimensions of the pan; it's longer but narrower than my other litter pan.  When I transitioned to this litter pan, I still had the other pan available for the cats to use.  They slowly took to it.  I am glad I purchased this and I even bought another so that I have a spare while I'm washing the soiled one.  Like other users (regardless if they were using this pan for food or other) I did notice that the finish on this pan has a tendency to &#34;stain&#34; or &#34;varnish&#34;?  I'm not sure exactly what to call it but even cleaning this with soap by hand, some of the finish seems to get discolored so that when it's clean and dry, you can still see &#34;spots&",1
